NO.,SMILES,BBB+/BBB-,group,BRIC_IDs,RING_IDs,SIDECHAIN_IDs,Flexibility_RDKit,MW_RDKit,LogP_RDKit,HBA_RDKit,HBD_RDKit,TPSA_RDKit,Charge_RDKit,HeavyAtom_RDKit,AtomStereo_RDKit,AtomCount_C_RDKit,AtomCount_H_RDKit,AtomCount_O_RDKit,AtomCount_N_RDKit,AtomCount_S_RDKit,AtomCount_F_RDKit,AtomCount_Cl_RDKit,AtomCount_Br_RDKit,AtomCount_I_RDKit,AtomCount_P_RDKit,AtomCount_B_RDKit,AtomCount_Li_RDKit,BondCount_Single_RDKit,BondCount_Double_RDKit,BondCount_Triple_RDKit,BondCount_Aromatic_RDKit,Total_Chiral_Centers_RDKit,R_Isomers_RDKit,S_Isomers_RDKit,E_Isomers_RDKit,Z_Isomers_RDKit,Num_4_Rings_Aromatic_RDKit,Num_4_Rings_NonAromatic_RDKit,Num_4_Rings_Total_RDKit,Num_5_Rings_Aromatic_RDKit,Num_5_Rings_NonAromatic_RDKit,Num_5_Rings_Total_RDKit,Num_6_Rings_Aromatic_RDKit,Num_6_Rings_NonAromatic_RDKit,Num_6_Rings_Total_RDKit,Num_8_Rings_Aromatic_RDKit,Num_8_Rings_NonAromatic_RDKit,Num_8_Rings_Total_RDKit,Num_Aromatic_Rings_RDKit,Num_NonAromatic_Rings_RDKit,Num_Total_Rings_RDKit,WienerIndex_RDKit,EccentricConnectivityIndex_RDKit,RadiusOfGyration_RDKit,LogP_PubChem,TPSA_PubChem,HBA_PubChem,HBD_PubChem,Flexibility_PubChem,Charge_PubChem,AtomStereo_PubChem,LogP_Avg,TPSA_Avg,HBA_Avg,HBD_Avg,Flexibility_Avg,Charge_Avg,AtomStereo_Avg
225,O=[N+]([O-])c1cc[nH]c1NCCSCc1ncccc1Br,BBB+,A,BRIC0003; BRIC0009; BRIC0014; BRIC0015; BRIC0059; BRIC0218,RING0002; RING0036,SC0006; SC0009; SC0010; SC0013; SC0039; SC0052,7,357.233,3.4257,5,2,83.85,0,20,0,12,13,2,4,1,0,0,1,0,0,0,0,22,1,0,11,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,2974,690,3.909268499,3.2,112,5,2,6,0,0,3.31285,97.925,5,2,6.5,0,0
226,NC(=O)c1cnn(C2OC(CO)C(O)C2O)n1,BBB+,A,BRIC0067; BRIC0400; BRIC0402; BRIC0403,RING0032; RING0105,SC0002; SC0005; SC0006,6,244.207,-3.0115,8,4,143.72,0,17,4,8,12,5,4,0,0,0,0,0,0,0,0,24,1,0,5,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2,1896,495,3.213020478,-2.2,144,7,4,3,0,4,-2.60575,143.86,7.5,4,4.5,0,4
227,Nc1cc(N)c(N)cc1N,BBB+,A,BRIC0404,RING0001,SC0014,4,138.174,0.0154,4,4,104.08,0,10,0,6,10,0,4,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,694,222,2.228836549,-0.8,104,4,4,0,0,0,-0.3923,104.04,4,4,2,0,0
228,O=[N+]([O-])C1=CC=NC1NCCSCc1ncccc1Br,BBB+,A,BRIC0003; BRIC0009; BRIC0014; BRIC0015; BRIC0059; BRIC0217,RING0002; RING0072,SC0006; SC0009; SC0010; SC0013; SC0039; SC0052,7,357.233,2.238,6,1,80.42,0,20,1,12,13,2,4,1,0,0,1,0,0,0,0,25,3,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2,2950,688,3.311088255,,,,,,0,,2.238,80.42,6,1,7,0,1
229,O=[N+]([O-])c1[nH]ccc1NCCSCc1ncccc1Br,BBB+,A,BRIC0003; BRIC0009; BRIC0014; BRIC0015; BRIC0059; BRIC0405,RING0002; RING0036,SC0006; SC0009; SC0010; SC0013; SC0039; SC0052,7,357.233,3.4257,5,2,83.85,0,20,0,12,13,2,4,1,0,0,1,0,0,0,0,22,1,0,11,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,2974,690,3.734440898,,,,,,0,,3.4257,83.85,5,2,7,0,0
230,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,BBB+,A,BRIC0001; BRIC0114; BRIC0406,RING0002,SC0002; SC0007; SC0008; SC0010,4,232.239,1.38112,5,1,70.5,0,17,0,12,12,3,2,0,0,0,0,0,0,0,0,21,3,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,1842,428,3.008192816,1.4,70.5,5,1,2,0,0,1.39056,70.5,5,1,3,0,0
231,O=[N+]([O-])c1cc[nH]c1NCCSCc1ccccn1,BBB+,A,BRIC0003; BRIC0004; BRIC0009; BRIC0014; BRIC0059; BRIC0218,RING0002; RING0036,SC0006; SC0009; SC0010; SC0039; SC0052,7,278.337,2.6632,5,2,83.85,0,19,0,12,14,2,4,1,0,0,0,0,0,0,0,22,1,0,11,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,2974,690,2.953897382,2.5,112,5,2,6,0,0,2.5816,97.925,5,2,6.5,0,0
232,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(C)c2cc1OC,BBB+,A,BRIC0005; BRIC0040; BRIC0074; BRIC0172; BRIC0407,RING0001; RING0013; RING0033; RING0037,SC0001; SC0005; SC0010,7,382.42,2.51082,7,0,80.93,0,28,0,20,22,4,4,0,0,0,0,0,0,0,0,36,1,0,16,0,0,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,3,1,4,8414,1359,4.536977258,2.8,80.9,7,0,4,0,0,2.65541,80.915,7,0,5.5,0,0
233,Cc1cccc(COc2cccc(/C=C3\C(=O)NN(c4ccccc4)C3=O)c2)c1,BBB+,A,BRIC0014; BRIC0017; BRIC0027; BRIC0408; BRIC0409; BRIC0410,RING0001; RING0106,SC0002; SC0005; SC0010,6,384.435,4.03542,3,1,58.64,0,29,1,24,20,3,2,0,0,0,0,0,0,0,0,31,3,0,18,0,0,0,1,0,0,0,0,0,1,1,3,0,3,0,0,0,3,1,4,8718,1435,4.235124353,4.7,58.6,3,1,5,0,0,4.36771,58.62,3,1,5.5,0,0.5
234,O=C1NCC(c2ccccc2)C2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)O1,BBB+,A,BRIC0027; BRIC0040; BRIC0081; BRIC0411; BRIC0412,RING0001; RING0028; RING0107,SC0001; SC0002; SC0028,2,486.412,5.2226,3,1,58.64,0,34,1,23,20,3,2,0,6,0,0,0,0,0,0,43,2,0,12,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,2,2,4,9235,1299,4.941834641,4.8,58.6,9,1,2,0,1,5.0113,58.62,6,1,2,0,1
235,O=[N+]([O-])C1=CC=NC1NCCSCc1ccccn1,BBB+,A,BRIC0003; BRIC0004; BRIC0009; BRIC0014; BRIC0059; BRIC0217,RING0002; RING0072,SC0006; SC0009; SC0010; SC0039; SC0052,7,278.337,1.4755,6,1,80.42,0,19,1,12,14,2,4,1,0,0,0,0,0,0,0,25,3,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2,2950,688,3.22380246,,,,,,0,,1.4755,80.42,6,1,7,0,1
236,Cc1ccc(NC2=NCCN2)c(Cl)c1,BBB+,A,BRIC0043; BRIC0413,RING0001; RING0022,SC0010; SC0012; SC0014,2,209.68,2.01952,3,2,36.42,0,14,0,10,12,0,3,0,0,1,0,0,0,0,0,20,1,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2,1495,420,3.023426493,1.8,36.4,1,2,2,0,0,1.90976,36.41,2,2,2,0,0
237,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,BBB+,A,BRIC0014; BRIC0017; BRIC0033; BRIC0058; BRIC0074; BRIC0250; BRIC0387; BRIC0414; BRIC0415; BRIC0416,RING0001; RING0033; RING0045; RING0064; RING0102,SC0002; SC0005; SC0007; SC0010; SC0012,13,705.647,6.2427,10,0,100.79,0,49,3,35,38,4,8,0,0,2,0,0,0,0,0,68,2,0,23,0,0,0,0,0,0,0,0,1,2,3,3,1,4,0,0,0,4,3,7,41648,4022,7.145238495,5.7,101,9,0,11,0,3,5.97135,100.895,9.5,0,12,0,3
238,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,BBB+,A,BRIC0014; BRIC0017; BRIC0033; BRIC0058; BRIC0074; BRIC0250; BRIC0387; BRIC0415; BRIC0416; BRIC0417,RING0001; RING0033; RING0045; RING0064; RING0102,SC0002; SC0005; SC0007; SC0010; SC0012,13,705.647,6.2427,10,0,100.79,0,49,3,35,38,4,8,0,0,2,0,0,0,0,0,68,2,0,23,2,1,1,0,0,0,0,0,1,2,3,3,1,4,0,0,0,4,3,7,41648,4022,7.454177842,5.7,101,9,0,11,0,3,5.97135,100.895,9.5,0,12,0,3
239,COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,BBB+,A,BRIC0003; BRIC0005; BRIC0154; BRIC0171; BRIC0390,RING0001,SC0005; SC0006; SC0007; SC0010; SC0014; SC0018,19,440.584,4.75088,6,1,72.74,0,32,1,26,36,4,2,0,0,0,0,0,0,0,0,56,0,1,12,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,18674,2111,4.066887699,3.3,72.7,6,1,13,0,1,4.02544,72.72,6,1,16,0,1
240,CC(=O)N1CCN(c2ccc(OCC3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,BBB+,A,BRIC0014; BRIC0017; BRIC0033; BRIC0058; BRIC0074; BRIC0078; BRIC0278; BRIC0414; BRIC0416,RING0001; RING0026; RING0033; RING0102,SC0002; SC0005; SC0007; SC0010; SC0012,8,531.44,4.2058,7,0,69.06,0,36,2,26,28,4,4,0,0,2,0,0,0,0,0,50,1,0,17,1,0,1,0,0,0,0,0,1,1,2,2,1,3,0,0,0,3,2,5,16721,2124,5.184610151,4.3,69.1,6,0,7,0,2,4.2529,69.08,6.5,0,7.5,0,2
241,CC(=O)N1CCc2ccc(N(C(=O)/C=C/c3cccc(C#N)c3)N3CCN(CCC4CCCC4)CC3)cc21,BBB+,A,BRIC0078; BRIC0171; BRIC0418; BRIC0419; BRIC0420,RING0001; RING0033; RING0053; RING0065,SC0002; SC0006; SC0007; SC0027; SC0031,8,511.67,4.62658,5,0,70.89,0,38,1,31,37,2,5,0,0,0,0,0,0,0,0,63,3,1,12,0,0,0,1,0,0,0,0,0,2,2,2,1,3,0,0,0,2,3,5,22880,2211,5.202823556,,,,,,0,,4.62658,70.89,5,0,8,0,1
242,CC(=O)Cc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,BBB+,A,BRIC0003; BRIC0040; BRIC0058; BRIC0421; BRIC0422; BRIC0423,RING0001; RING0029,SC0002; SC0007; SC0010; SC0014; SC0020,7,350.443,4.3811,4,2,72.19,0,25,0,20,18,2,2,1,0,0,0,0,0,0,0,26,2,0,17,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,3,0,3,6002,1104,4.890766714,,,,,,0,,4.3811,72.19,4,2,7,0,0
243,NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,BBB+,A,BRIC0027; BRIC0171; BRIC0424; BRIC0425; BRIC0426,RING0001; RING0008; RING0058,SC0002; SC0006; SC0007; SC0010,7,426.56,3.9575,3,1,55.56,0,32,1,28,30,2,2,0,0,0,0,0,0,0,0,47,1,0,18,0,0,0,0,0,0,0,0,0,2,2,3,0,3,0,0,0,3,2,5,12942,1634,4.175881505,4.6,55.6,3,1,7,0,1,4.27875,55.58,3,1,7,0,1
244,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,BBB+,A,BRIC0027; BRIC0171; BRIC0424; BRIC0426; BRIC0427,RING0001; RING0008; RING0083,SC0002; SC0006; SC0007; SC0010,7,426.56,3.9575,3,1,55.56,0,32,1,28,30,2,2,0,0,0,0,0,0,0,0,47,1,0,18,1,0,1,0,0,0,0,0,0,2,2,3,0,3,0,0,0,3,2,5,12942,1634,3.96711831,4.6,55.6,3,1,7,0,1,4.27875,55.58,3,1,7,0,1
245,Cc1cn(C2CC(F)C(CO)O2)c(=O)[nH]c1=O,BBB+,A,BRIC0067; BRIC0315; BRIC0397,RING0019; RING0032,SC0002; SC0005; SC0010; SC0026,4,244.222,-0.1126,4,2,78.87,0,17,3,10,13,4,2,0,1,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,1970,470,3.145272417,-0.3,78.9,5,2,2,0,3,-0.2063,78.885,4.5,2,3,0,3
246,CSC(=N)N,BBB+,A,BRIC0428,,SC0009; SC0053,1,90.151,0.24287,2,2,49.87,0,5,0,2,6,0,2,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,81,1.569557384,0.2,75.2,2,2,1,0,0,0.221435,62.535,2,2,1,0,0
247,COc1ccc2c3c1O[C@@H]1C(O)CC[C@@]4(O)C(C2)NCC[C@]314,BBB+,A,BRIC0005; BRIC0429,RING0001; RING0006; RING0008; RING0010; RING0050,SC0002; SC0005,4,303.358,0.4978,5,3,70.95,0,22,5,17,21,4,1,0,0,0,0,0,0,0,0,41,0,0,6,3,0,3,0,0,0,0,0,0,1,1,1,3,4,0,0,0,1,4,5,4209,709,2.964095898,,,,,,0,,0.4978,70.95,5,3,4,0,5
248,COc1ccc2c3c1O[C@H]1[C@H](O)CC[C@@]4(O)C(C2)N(C)CC[C@]314,BBB+,A,BRIC0005; BRIC0430,RING0001; RING0006; RING0008; RING0010; RING0050,SC0002; SC0005; SC0010,5,317.385,0.84,5,2,62.16,0,23,5,18,23,4,1,0,0,0,0,0,0,0,0,44,0,0,6,4,2,2,0,0,0,0,0,0,1,1,1,3,4,0,0,0,1,4,5,5007,792,3.018870955,-0.8,62.2,5,2,1,0,5,0.02,62.18,5,2,3,0,5
249,C[C@@H]1CCCN1CCCOc1ccc(N2CCN(C(=O)c3ccc(F)cc3F)CC2=O)cc1,BBB+,A,BRIC0017; BRIC0040; BRIC0058; BRIC0111; BRIC0249; BRIC0431; BRIC0432,RING0001; RING0033; RING0058,SC0001; SC0002; SC0005; SC0007; SC0010; SC0026,8,457.521,3.707,4,0,53.09,0,33,1,25,29,3,3,0,2,0,0,0,0,0,0,51,2,0,12,1,1,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,2,2,4,16174,2118,5.818515376,3.7,53.1,6,0,7,0,1,3.7035,53.095,5,0,7.5,0,1
250,O=S1(=O)N[C@H]2CCCN2c2ccccc21,BBB+,A,BRIC0433,RING0001; RING0058; RING0108,SC0002,0,224.285,0.9048,3,1,49.41,0,15,1,10,12,2,2,1,0,0,0,0,0,0,0,21,2,0,6,1,0,1,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,2,3,1351,356,2.539088483,1.4,57.8,4,1,0,0,1,1.1524,53.605,3.5,1,0,0,1
251,CC(C)CC1C(=O)N2CCC[C@H]2C2O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,BBB+,A,BRIC0003; BRIC0040; BRIC0048; BRIC0223; BRIC0227; BRIC0434,RING0001; RING0033; RING0036; RING0058; RING0073; RING0074; RING0075,SC0002; SC0006; SC0007; SC0010; SC0013; SC0018,10,638.607,3.8728,5,2,97.98,0,42,6,32,40,4,5,0,0,0,1,0,0,0,0,74,4,0,10,4,3,1,0,0,0,0,0,1,2,3,1,3,4,0,0,0,2,5,7,25813,2367,5.348693793,,,,,,0,,3.8728,97.98,5,2,10,0,6
252,Cc1nc(N2CCc3ccccc3CC2)c([N+](=O)[O-])c(=O)[nH]1,BBB+,A,BRIC0435; BRIC0436,RING0001; RING0019; RING0109,SC0002; SC0010; SC0016,3,300.318,1.0812,5,1,87.84,0,22,0,15,16,3,4,0,0,0,0,0,0,0,0,30,4,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,3564,672,3.616705186,1.6,90.5,5,1,1,0,0,1.3406,89.17,5,1,2,0,0
253,NC(=O)N1c2ccccc2CC(O)c2ccccc21,BBB+,A,BRIC0437; BRIC0438,RING0001; RING0110,SC0002; SC0006,1,254.289,2.4929,2,2,66.56,0,19,1,15,14,2,2,0,0,0,0,0,0,0,0,22,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,2343,488,2.897764695,1.4,66.6,2,2,0,0,1,1.94645,66.58,2,2,0.5,0,1
254,O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccc2ccn(CCN3CCCC3)c2c1,BBB+,A,BRIC0003; BRIC0014; BRIC0017; BRIC0027; BRIC0058; BRIC0171; BRIC0215; BRIC0260; BRIC0439,RING0001; RING0057; RING0058,SC0001; SC0005; SC0007; SC0010; SC0014,9,453.586,5.4973,4,1,46.5,0,34,0,29,31,2,3,0,0,0,0,0,0,0,0,46,1,0,22,0,0,0,0,0,0,0,0,1,1,2,3,0,3,0,0,0,4,1,5,18993,2456,5.826445776,4.7,46.5,3,1,9,0,0,5.09865,46.5,3.5,1,9,0,0
255,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,BBB+,A,BRIC0003; BRIC0040; BRIC0058; BRIC0078; BRIC0317,RING0001,SC0002; SC0007; SC0014; SC0020,5,269.304,2.4795,3,3,84.22,0,20,0,15,15,2,3,0,0,0,0,0,0,0,0,22,2,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,3502,770,4.188983619,1.3,84.2,3,3,3,0,0,1.88975,84.21,3,3,4,0,0
256,C/C(=C(\CCOC(=O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1)SSC(C)C)N(C=O)Cc1cnc(C)nc1N,BBB+,A,BRIC0014; BRIC0017; BRIC0040; BRIC0116; BRIC0144; BRIC0440; BRIC0441; BRIC0442,RING0001; RING0014; RING0037,SC0001; SC0002; SC0005; SC0007; SC0009; SC0010; SC0012; SC0014; SC0024; SC0054,15,596.562,5.77932,10,2,127.51,0,38,1,25,27,4,5,2,0,2,0,0,0,0,0,50,5,0,12,0,0,0,0,1,0,0,0,0,0,0,2,1,3,0,0,0,2,1,3,17110,2027,4.559125873,,,,,,0,,5.77932,127.51,10,2,15,0,1
257,Oc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,BBB+,A,BRIC0017; BRIC0058; BRIC0059; BRIC0060; BRIC0298; BRIC0443,RING0001; RING0028,SC0002; SC0005; SC0010,9,455.554,6.575,5,2,62.16,0,34,0,29,29,4,1,0,0,0,0,0,0,0,0,44,0,0,23,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,4,1,5,16310,2017,4.969465801,6.5,62.2,5,2,7,0,0,6.5375,62.18,5,2,8,0,0
258,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,BBB+,A,BRIC0003; BRIC0017; BRIC0020; BRIC0027; BRIC0051; BRIC0238; BRIC0314; BRIC0444; BRIC0445,RING0001; RING0032,SC0002; SC0006; SC0007; SC0008; SC0010; SC0014; SC0021; SC0033,15,505.637,2.4028,7,3,131.19,0,35,3,25,35,6,3,1,0,0,0,0,0,0,0,57,3,0,12,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,2,1,3,18208,1872,4.931796268,2.9,140,8,3,12,0,3,2.6514,135.595,7.5,3,13.5,0,3
259,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,BBB+,A,BRIC0003; BRIC0017; BRIC0020; BRIC0027; BRIC0051; BRIC0287; BRIC0314; BRIC0444; BRIC0446,RING0001; RING0100,SC0002; SC0006; SC0007; SC0008; SC0010; SC0014; SC0021; SC0033,15,505.637,2.4028,7,3,131.19,0,35,3,25,35,6,3,1,0,0,0,0,0,0,0,57,3,0,12,3,2,1,0,0,0,0,0,0,1,1,2,0,2,0,0,0,2,1,3,18208,1872,4.404113547,2.9,140,8,3,12,0,3,2.6514,135.595,7.5,3,13.5,0,3
260,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,BBB+,A,BRIC0003; BRIC0017; BRIC0020; BRIC0027; BRIC0051; BRIC0287; BRIC0314; BRIC0444; BRIC0447,RING0001; RING0100,SC0002; SC0006; SC0007; SC0008; SC0010; SC0014; SC0021; SC0033,15,505.637,2.4028,7,3,131.19,0,35,3,25,35,6,3,1,0,0,0,0,0,0,0,57,3,0,12,3,1,2,0,0,0,0,0,0,1,1,2,0,2,0,0,0,2,1,3,18208,1872,4.375055808,2.9,140,8,3,12,0,3,2.6514,135.595,7.5,3,13.5,0,3
261,CN1CN(c2ccc(Br)cc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,BBB+,A,BRIC0130; BRIC0448; BRIC0449; BRIC0450,RING0001; RING0012; RING0028,SC0002; SC0007; SC0010; SC0013; SC0026,7,488.401,4.3218,4,0,43.86,0,31,0,24,27,2,3,0,1,0,1,0,0,0,0,47,2,0,12,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,2,2,4,11523,1646,5.198293952,3.9,43.9,5,0,6,0,0,4.1109,43.88,4.5,0,6.5,0,0
262,CC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)cc1,BBB+,A,BRIC0003; BRIC0017; BRIC0058; BRIC0078; BRIC0116; BRIC0289,RING0001,SC0002; SC0005; SC0006; SC0007; SC0010; SC0014; SC0017,11,266.341,1.3827,4,3,70.59,0,19,1,14,22,3,2,0,0,0,0,0,0,0,0,34,1,0,6,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,5306,958,4.41667548,0.8,70.6,4,3,7,0,1,1.09135,70.595,4,3,9,0,1
263,CC(=O)OC1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OCC3(OC(C)=O)[C@H]2C(OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,BBB+,A,BRIC0003; BRIC0017; BRIC0027; BRIC0040; BRIC0078; BRIC0451; BRIC0452,RING0001; RING0009; RING0050; RING0111; RING0112,SC0002; SC0005; SC0006; SC0007; SC0010; SC0017,19,853.918,3.7357,14,4,221.29,0,62,11,47,51,14,1,0,0,0,0,0,0,0,0,94,7,0,18,7,3,4,0,0,0,1,1,0,0,0,3,2,5,0,1,1,3,4,7,55800,3854,4.870296422,,,,,,0,,3.7357,221.29,14,4,19,0,11
264,CC(C)CC(CN)CC(=O)O,BBB+,A,BRIC0453,,SC0002; SC0006; SC0007; SC0010,8,159.229,1.0821,3,2,63.32,0,11,1,8,17,2,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,331,2.609089221,-1.6,63.3,3,2,5,0,1,-0.25895,63.31,3,2,6.5,0,1
265,CC1=CN2C(CC(=O)N(C)C)=C(c3ccc(C)cc3)NC2C=C1,BBB+,A,BRIC0112; BRIC0454,RING0001; RING0077; RING0113,SC0002; SC0007; SC0010; SC0024,7,309.413,2.84682,3,1,35.58,0,23,1,19,23,1,3,0,0,0,0,0,0,0,0,38,4,0,6,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,2,3,6158,906,3.60558245,,,,,,0,,2.84682,35.58,3,1,7,0,1
266,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,BBB+,A,BRIC0003; BRIC0014; BRIC0040; BRIC0058; BRIC0101; BRIC0455,RING0001; RING0114,SC0010; SC0020,7,348.446,3.69402,2,2,58.2,0,26,0,22,24,2,2,0,0,0,0,0,0,0,0,39,2,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,8883,1391,4.782954595,3.8,58.2,2,2,6,0,0,3.74701,58.2,2,2,6.5,0,0
267,CC(=O)Nc1nnc(S(N)(=O)=O)s1,BBB+,A,BRIC0003; BRIC0078; BRIC0456,RING0115,SC0002; SC0004; SC0007; SC0014,4,222.251,-0.8561,6,2,115.04,0,13,0,4,6,3,4,2,0,0,0,0,0,0,0,11,3,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,709,264,2.829745296,-0.3,152,7,2,2,0,0,-0.57805,133.52,6.5,2,3,0,0
268,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O,BBB+,A,BRIC0112; BRIC0457,RING0001; RING0050; RING0051; RING0116,SC0002; SC0006; SC0010; SC0020; SC0024,11,457.483,0.03,9,5,164.63,0,33,4,23,27,7,3,0,0,0,0,0,0,0,0,52,5,0,6,4,3,1,0,0,0,0,0,0,0,0,1,3,4,0,0,0,1,3,4,11162,1317,4.263297364,-0.6,165,9,5,3,0,4,-0.285,164.815,9,5,7,0,4
269,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O,BBB+,A,BRIC0112; BRIC0458,RING0001; RING0050; RING0051; RING0116,SC0002; SC0006; SC0010; SC0020; SC0024,11,457.483,0.03,9,5,164.63,0,33,4,23,27,7,3,0,0,0,0,0,0,0,0,52,5,0,6,4,2,2,0,0,0,0,0,0,0,0,1,3,4,0,0,0,1,3,4,11162,1317,4.179280583,-0.6,165,9,5,3,0,4,-0.285,164.815,9,5,7,0,4
270,CN1CCC[C@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,BBB+,A,BRIC0033; BRIC0235; BRIC0459; BRIC0460,RING0001; RING0036; RING0058,SC0007; SC0010; SC0033,7,382.529,3.821,3,1,53.17,0,27,1,22,26,2,2,1,0,0,0,0,0,0,0,38,2,0,16,1,0,1,0,0,0,0,0,1,1,2,2,0,2,0,0,0,3,1,4,9453,1396,4.0653171,4.1,61.6,3,1,6,0,1,3.9605,57.385,3,1,6.5,0,1
271,COc1cc(/C=C/C(=O)NCCn2c(C)cc3ccccc32)cc(OC)c1OC,BBB+,A,BRIC0003; BRIC0005; BRIC0171; BRIC0199; BRIC0273; BRIC0461,RING0001; RING0057,SC0005; SC0007; SC0010; SC0020; SC0027,12,394.471,3.80512,5,1,61.72,0,29,1,23,26,4,2,0,0,0,0,0,0,0,0,39,2,0,16,0,0,0,1,0,0,0,0,1,0,1,2,0,2,0,0,0,3,0,3,11623,1618,5.091702195,3.6,61.7,4,1,8,0,0,3.70256,61.71,4.5,1,10,0,0.5
